;name;year;s;sdate;e;edate;dur
166;Амдерма;2020.0;2020-05-26 00:00:00;147.0;2020-10-27 00:00:00;301.0;154.0
167;Амдерма;2021.0;2021-05-25 00:00:00;145.0;2021-09-21 00:00:00;264.0;119.0
168;Усть-Кара;1998.0;1998-10-14 00:00:00;287.0;1998-10-14 00:00:00;287.0;0.0
169;Усть-Кара;1999.0;1999-08-04 00:00:00;216.0;1999-10-27 00:00:00;300.0;84.0
170;Усть-Кара;2000.0;2000-06-28 00:00:00;180.0;2000-11-29 00:00:00;334.0;154.0
171;Усть-Кара;2001.0;-99;-99.0;-99;-99.0;-99.0
172;Усть-Кара;2002.0;2002-07-16 00:00:00;197.0;2002-11-05 00:00:00;309.0;112.0
173;Усть-Кара;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
174;Усть-Кара;2004.0;2004-07-14 00:00:00;196.0;2004-12-22 00:00:00;357.0;161.0
175;Усть-Кара;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
176;Усть-Кара;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
177;Усть-Кара;2007.0;2007-04-18 00:00:00;108.0;2007-12-19 00:00:00;353.0;245.0
178;Усть-Кара;2008.0;2008-01-23 00:00:00;23.0;2008-12-30 00:00:00;365.0;342.0
179;Усть-Кара;2009.0;2009-01-14 00:00:00;14.0;2009-12-08 00:00:00;342.0;328.0
180;Усть-Кара;2010.0;2010-06-29 00:00:00;180.0;2010-11-16 00:00:00;320.0;140.0
181;Усть-Кара;2011.0;2011-05-24 00:00:00;144.0;2011-11-01 00:00:00;305.0;161.0
182;Усть-Кара;2012.0;2012-01-10 00:00:00;10.0;2012-11-27 00:00:00;332.0;322.0
183;Усть-Кара;2013.0;2013-07-30 00:00:00;211.0;2013-07-30 00:00:00;211.0;0.0
184;Усть-Кара;2014.0;-99;-99.0;-99;-99.0;-99.0
185;Усть-Кара;2015.0;-99;-99.0;-99;-99.0;-99.0
186;Усть-Кара;2016.0;-99;-99.0;-99;-99.0;-99.0
187;Усть-Кара;2017.0;-99;-99.0;-99;-99.0;-99.0
188;Усть-Кара;2018.0;2018-07-20 00:00:00;201.0;2018-08-17 00:00:00;229.0;28.0
189;Усть-Кара;2019.0;2019-10-29 00:00:00;302.0;2019-12-31 00:00:00;365.0;63.0
190;Усть-Кара;2020.0;2020-05-19 00:00:00;140.0;2020-10-27 00:00:00;301.0;161.0
191;Усть-Кара;2021.0;2021-05-25 00:00:00;145.0;2021-09-21 00:00:00;264.0;119.0
192;МарреСале;1998.0;1998-10-14 00:00:00;287.0;1998-10-14 00:00:00;287.0;0.0
193;МарреСале;1999.0;1999-08-04 00:00:00;216.0;1999-10-27 00:00:00;300.0;84.0
194;МарреСале;2000.0;2000-06-28 00:00:00;180.0;2000-11-29 00:00:00;334.0;154.0
195;МарреСале;2001.0;-99;-99.0;-99;-99.0;-99.0
196;МарреСале;2002.0;2002-07-16 00:00:00;197.0;2002-11-05 00:00:00;309.0;112.0
197;МарреСале;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
198;МарреСале;2004.0;2004-07-14 00:00:00;196.0;2004-12-22 00:00:00;357.0;161.0
199;МарреСале;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
200;МарреСале;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
201;МарреСале;2007.0;2007-04-18 00:00:00;108.0;2007-12-19 00:00:00;353.0;245.0
202;МарреСале;2008.0;2008-01-23 00:00:00;23.0;2008-12-30 00:00:00;365.0;342.0
203;МарреСале;2009.0;2009-01-14 00:00:00;14.0;2009-12-08 00:00:00;342.0;328.0
204;МарреСале;2010.0;2010-06-29 00:00:00;180.0;2010-11-16 00:00:00;320.0;140.0
205;МарреСале;2011.0;2011-05-24 00:00:00;144.0;2011-11-01 00:00:00;305.0;161.0
206;МарреСале;2012.0;2012-01-10 00:00:00;10.0;2012-12-18 00:00:00;353.0;343.0
207;МарреСале;2013.0;2013-07-30 00:00:00;211.0;2013-07-30 00:00:00;211.0;0.0
208;МарреСале;2014.0;-99;-99.0;-99;-99.0;-99.0
209;МарреСале;2015.0;-99;-99.0;-99;-99.0;-99.0
210;МарреСале;2016.0;-99;-99.0;-99;-99.0;-99.0
211;МарреСале;2017.0;-99;-99.0;-99;-99.0;-99.0
212;МарреСале;2018.0;2018-07-20 00:00:00;201.0;2018-08-17 00:00:00;229.0;28.0
213;МарреСале;2019.0;2019-10-29 00:00:00;302.0;2019-12-31 00:00:00;365.0;63.0
214;МарреСале;2020.0;2020-05-19 00:00:00;140.0;2020-10-27 00:00:00;301.0;161.0
215;МарреСале;2021.0;2021-05-25 00:00:00;145.0;2021-09-21 00:00:00;264.0;119.0
216;о.Белый;1998.0;1998-07-22 00:00:00;203.0;1998-10-14 00:00:00;287.0;84.0
217;о.Белый;1999.0;1999-07-14 00:00:00;195.0;1999-10-06 00:00:00;279.0;84.0
218;о.Белый;2000.0;2000-07-05 00:00:00;187.0;2000-10-11 00:00:00;285.0;98.0
219;о.Белый;2001.0;-99;-99.0;-99;-99.0;-99.0
220;о.Белый;2002.0;2002-07-03 00:00:00;184.0;2002-10-09 00:00:00;282.0;98.0
221;о.Белый;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
222;о.Белый;2004.0;2004-07-21 00:00:00;203.0;2004-12-22 00:00:00;357.0;154.0
223;о.Белый;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
224;о.Белый;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
225;о.Белый;2007.0;2007-04-18 00:00:00;108.0;2007-11-07 00:00:00;311.0;203.0
226;о.Белый;2008.0;2008-01-23 00:00:00;23.0;2008-10-06 00:00:00;280.0;257.0
227;о.Белый;2009.0;2009-06-10 00:00:00;161.0;2009-10-20 00:00:00;293.0;132.0
228;о.Белый;2010.0;2010-06-15 00:00:00;166.0;2010-11-02 00:00:00;306.0;140.0
229;о.Белый;2011.0;2011-05-24 00:00:00;144.0;2011-12-27 00:00:00;361.0;217.0
230;о.Белый;2012.0;2012-01-03 00:00:00;3.0;2012-10-16 00:00:00;290.0;287.0
231;о.Белый;2013.0;2013-06-04 00:00:00;155.0;2013-10-08 00:00:00;281.0;126.0
232;о.Белый;2014.0;2014-06-24 00:00:00;175.0;2014-06-24 00:00:00;175.0;0.0
233;о.Белый;2015.0;-99;-99.0;-99;-99.0;-99.0
234;о.Белый;2016.0;-99;-99.0;-99;-99.0;-99.0
235;о.Белый;2017.0;-99;-99.0;-99;-99.0;-99.0
236;о.Белый;2018.0;2018-07-13 00:00:00;194.0;2018-08-17 00:00:00;229.0;35.0
237;о.Белый;2019.0;-99;-99.0;-99;-99.0;-99.0
238;о.Белый;2020.0;2020-05-12 00:00:00;133.0;2020-10-13 00:00:00;287.0;154.0
239;о.Белый;2021.0;2021-07-06 00:00:00;187.0;2021-09-21 00:00:00;264.0;77.0
240;о.Вилькицкого;1998.0;1998-07-22 00:00:00;203.0;1998-10-14 00:00:00;287.0;84.0
241;о.Вилькицкого;1999.0;1999-07-14 00:00:00;195.0;1999-10-06 00:00:00;279.0;84.0
242;о.Вилькицкого;2000.0;2000-07-05 00:00:00;187.0;2000-10-11 00:00:00;285.0;98.0
243;о.Вилькицкого;2001.0;-99;-99.0;-99;-99.0;-99.0
244;о.Вилькицкого;2002.0;2002-07-03 00:00:00;184.0;2002-10-09 00:00:00;282.0;98.0
245;о.Вилькицкого;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
246;о.Вилькицкого;2004.0;2004-07-21 00:00:00;203.0;2004-12-22 00:00:00;357.0;154.0
247;о.Вилькицкого;2005.0;2005-02-16 00:00:00;47.0;2005-12-07 00:00:00;341.0;294.0
248;о.Вилькицкого;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
249;о.Вилькицкого;2007.0;2007-04-18 00:00:00;108.0;2007-11-07 00:00:00;311.0;203.0
250;о.Вилькицкого;2008.0;2008-01-23 00:00:00;23.0;2008-10-06 00:00:00;280.0;257.0
251;о.Вилькицкого;2009.0;2009-06-10 00:00:00;161.0;2009-10-20 00:00:00;293.0;132.0
252;о.Вилькицкого;2010.0;2010-06-15 00:00:00;166.0;2010-11-02 00:00:00;306.0;140.0
253;о.Вилькицкого;2011.0;2011-05-24 00:00:00;144.0;2011-12-27 00:00:00;361.0;217.0
254;о.Вилькицкого;2012.0;2012-01-03 00:00:00;3.0;2012-10-16 00:00:00;290.0;287.0
255;о.Вилькицкого;2013.0;2013-06-04 00:00:00;155.0;2013-10-08 00:00:00;281.0;126.0
256;о.Вилькицкого;2014.0;2014-06-24 00:00:00;175.0;2014-07-08 00:00:00;189.0;14.0
257;о.Вилькицкого;2015.0;-99;-99.0;-99;-99.0;-99.0
258;о.Вилькицкого;2016.0;-99;-99.0;-99;-99.0;-99.0
